ID,Adduct,charge,cluster index,Compound_Name,Compound_Source,Data_Collector,GNPSLibraryURL,GNPSLinkout_Cluster,INCHI,Compound_class,Compound_Name.1,GNPS_Compound_Name_with_deriv,Comments,MassDiff,MQScore,MZErrorPPM,Balance score,name,number of spectra,PI,RTConsensus,RTMean,shared name,SharedPeaks,Smiles,SpectrumID,sum(precursor intensity),id,stat.x,index.x,p.value_gut,groups.x,stat.y,index.y,p.value_diet,groups.y,stat.x.1,index.x.1,p.value_Order,groups.x.1,stat.y.1,index.y.1,p.value_host,groups.y.1
428_RT17.8_BAL100,EI,0.0,428.0,"3-Hydroxyphenylacetic acid, 2TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000943902,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""428.0"""",""""main.cluster index_upperinput"""":""""428.0""""}""","InChI=1S/C14H24O3Si2/c1-18(2,3)16-13-9-7-8-12(10-13)11-14(15)17-19(4,5)6/h7-10H,11H2,1-6H3",Organic_acids,3-Hydroxyphenylacetic acid,"3-Hydroxyphenylacetic acid, 2TMS derivative",,296.126,0.862783,1000000.0,100,428.0,170.0,NIST,17.8,17.8,428.0,9.0,C[Si](C)(C)OC1=CC=CC(=C1)CC(=O)O[Si](C)(C)C,CCMSLIB00000943902,33500000.0,428_RT17.8_BAL100,0.878740145463688,4,0.00016,"s.Foregut,s.Hindgut",0.845610932277109,6,0.0002,"s.Herbivores,s.Omnivores",0.883474621783469,21,0.00055,"s.Proboscidea,s.Perissodactyla,s.Primates",0.578047087197324,67,1.0,"s.Asian_elephant,s.Mandrill"
154_RT8.37_BAL60,EI,0.0,154.0,"2-Hydroxy-3-methylbutyric acid, 2TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000943451,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""154.0"""",""""main.cluster index_upperinput"""":""""154.0""""}""","InChI=1S/C11H26O3Si2/c1-9(2)10(13-15(3,4)5)11(12)14-16(6,7)8/h9-10H,1-8H3",Organic_acids,2-Hydroxy-3-methylbutyric acid,"2-Hydroxy-3-methylbutyric acid, 2TMS derivative",,262.142,0.875189,1000000.0,60,154.0,139.0,NIST,8.37,8.37,154.0,12.0,CC(C)C(C(=O)O[Si](C)(C)C)O[Si](C)(C)C,CCMSLIB00000943451,57200000.0,154_RT8.37_BAL60,0.9281089045009,7,,"s.Foregut,s.Hindgut,s.Simplegut",0.936485876652012,5,0.0004,"s.Carnivores,s.Omnivores",0.927148583970547,23,0.0011,"s.Carnivora,s.Artiodactyla,s.Primates",0.591998617945922,142,1.0,"s.Capuchin,s.Hyena"
442_RT18.22_BAL95,EI,0.0,442.0,"5-Aminovaleric acid, 3TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000867722,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""442.0"""",""""main.cluster index_upperinput"""":""""442.0""""}""","InChI=1S/C14H35NO2Si3/c1-18(2,3)15(19(4,5)6)13-11-10-12-14(16)17-20(7,8)9/h10-13H2,1-9H3",Biogenic_amines,5-Aminovaleric acid,"5-Aminovaleric acid, 3TMS derivative",,333.198,0.934002,1000000.0,95,442.0,172.0,NIST,18.22,18.22,442.0,13.0,C[Si](C)(C)N(CCCCC(=O)O[Si](C)(C)C)[Si](C)(C)C,CCMSLIB00000867722,533000000.0,442_RT18.22_BAL95,0.974933356442865,7,,"s.Foregut,s.Hindgut,s.Simplegut",0.97627030309184,5,0.0002,"s.Carnivores,s.Omnivores",0.971754413977816,23,0.00055,"s.Carnivora,s.Artiodactyla,s.Primates",0.50788133540973,263,1.0,"s.Israeli_Wolf,s.Leopard"
228_RT11.13_BAL100,EI,0.0,228.0,"Butanedioic acid, 2TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000990311,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""228.0"""",""""main.cluster index_upperinput"""":""""228.0""""}""","InChI=1S/C10H22O4Si2/c1-15(2,3)13-9(11)7-8-10(12)14-16(4,5)6/h7-8H2,1-6H3",Organic_acids,Succinic acid,"Butanedioic acid, 2TMS derivative",,262.106,0.945835,1000000.0,100,228.0,170.0,NIST,11.13,11.13,228.0,11.0,C[Si](C)(C)OC(=O)CCC(=O)O[Si](C)(C)C,CCMSLIB00000990311,231000000.0,228_RT11.13_BAL100,0.990049503712809,7,,"s.Foregut,s.Hindgut,s.Simplegut",0.990049503712809,7,,"s.Carnivores,s.Herbivores,s.Omnivores",0.94157575347585,18,0.01815,"s.Proboscidea,s.Carnivora,s.Primates",0.60880727576645,75,1.0,"s.Black_bear,s.Capuchin"
485_RT20.31_BAL100,EI,0.0,485.0,"Putrescine, 4TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000867720,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""485.0"""",""""main.cluster index_upperinput"""":""""485.0""""}""","InChI=1S/C16H44N2Si4/c1-19(2,3)17(20(4,5)6)15-13-14-16-18(21(7,8)9)22(10,11)12/h13-16H2,1-12H3",Biogenic_amines,Putrescine,"Putrescine, 4TMS derivative",,376.258,0.950012,1000000.0,100,485.0,172.0,NIST,20.31,20.31,485.0,9.0,C[Si](C)(C)N(CCCCN([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,CCMSLIB00000867720,195000000.0,485_RT20.31_BAL100,0.943975163291329,7,,"s.Foregut,s.Hindgut,s.Simplegut",0.953275176975873,5,0.0004,"s.Carnivores,s.Omnivores",0.941362823379248,18,0.00275,"s.Proboscidea,s.Carnivora,s.Primates",0.518272331528736,87,1.0,"s.Black_bear,s.Leopard"
695_RT29.4_BAL100,EI,0.0,695.0,Glyceryl-glycoside TMS ether,Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000900576,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""695.0"""",""""main.cluster index_upperinput"""":""""695.0""""}""","InChI=1S/C27H66O8Si6/c1-36(2,3)29-20-22(32-38(7,8)9)19-28-27-26(35-41(16,17)18)25(34-40(13,14)15)24(33-39(10,11)12)23(31-27)21-30-37(4,5)6/h22-27H,19-21H2,1-18H3",Sugars,Glyceryl-glycoside,Glyceryl-glycoside TMS ether,,686.337,0.954886,1000000.0,100,695.0,168.0,NIST,29.4,29.4,695.0,20.0,C[Si](C)(C)OCC1C(C(C(C(O1)OCC(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,CCMSLIB00000900576,168000000.0,695_RT29.4_BAL100,0.945719620036375,5,0.00016,"s.Foregut,s.Simplegut",0.947992534253451,5,0.0002,"s.Carnivores,s.Omnivores",0.946933353646637,23,0.00055,"s.Carnivora,s.Artiodactyla,s.Primates",0.721587178867303,151,1.0,"s.Capuchin,s.Sand_cat"
565_RT23.7_BAL56,EI,0.0,565.0,"D-(-)-Tagatose, 5TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000944906,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""565.0"""",""""main.cluster index_upperinput"""":""""565.0""""}""","InChI=1S/C21H52O6Si5/c1-28(2,3)23-16-18(22)20(26-31(10,11)12)21(27-32(13,14)15)19(25-30(7,8)9)17-24-29(4,5)6/h19-21H,16-17H2,1-15H3",Sugars,Tagatose,"D-(-)-Tagatose, 5TMS derivative",,540.261,0.956761,1000000.0,56,565.0,157.0,NIST,23.7,23.7,565.0,21.0,C[Si](C)(C)OCC(C(C(C(=O)CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,CCMSLIB00000944906,113000000.0,565_RT23.7_BAL56,0.658364823992333,3,0.31568,s.Simplegut,0.718689953371677,3,0.0098,s.Omnivores,0.657842652744095,12,0.89705,"s.Carnivora,s.Primates",0.80371951816847,180,1.0,"s.Coati,s.Lemur_BWR"
554_RT22.9_BAL100,EI,0.0,554.0,"D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000944909,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""554.0"""",""""main.cluster index_upperinput"""":""""554.0""""}""","InChI=1S/C22H55NO6Si5/c1-24-23-19(17-25-30(2,3)4)21(28-33(11,12)13)22(29-34(14,15)16)20(27-32(8,9)10)18-26-31(5,6)7/h20-22H,17-18H2,1-16H3/b23-19-",Sugars,Tagatose-methyloxime,"D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (syn)",,569.288,0.957231,1000000.0,100,554.0,169.0,NIST,22.9,22.9,554.0,24.0,CO/N=C(/CO[Si](C)(C)C)\C(C(C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,CCMSLIB00000944909,4500000000.0,554_RT22.9_BAL100,0.856616532857075,5,0.03504,"s.Foregut,s.Simplegut",0.878447251783696,3,0.0002,s.Omnivores,0.838072306485603,23,0.04455,"s.Carnivora,s.Artiodactyla,s.Primates",0.756113746820575,145,1.0,"s.Capuchin,s.Lemur_BWR"
531_RT22.1_BAL100,EI,0.0,531.0,"Cadaverine, 4TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000867701,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""531.0"""",""""main.cluster index_upperinput"""":""""531.0""""}""","InChI=1S/C17H46N2Si4/c1-20(2,3)18(21(4,5)6)16-14-13-15-17-19(22(7,8)9)23(10,11)12/h13-17H2,1-12H3",Biogenic_amines,Cadaverine,"Cadaverine, 4TMS derivative",,390.274,0.958573,1000000.0,100,531.0,171.0,NIST,22.1,22.1,531.0,10.0,C[Si](C)(C)N(CCCCCN([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,CCMSLIB00000867701,138000000.0,531_RT22.1_BAL100,0.839176569784162,3,0.0184,s.Simplegut,0.856606892386613,5,0.0002,"s.Carnivores,s.Omnivores",0.873111650372912,18,0.00165,"s.Proboscidea,s.Carnivora,s.Primates",0.64178616621592,147,1.0,"s.Capuchin,s.Leopard"
223_RT10.93_BAL79,EI,0.0,223.0,"Ethanolamine, 3TMS derivative",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000867707,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""223.0"""",""""main.cluster index_upperinput"""":""""223.0""""}""","InChI=1S/C11H31NOSi3/c1-14(2,3)12(15(4,5)6)10-11-13-16(7,8)9/h10-11H2,1-9H3",Biogenic_amines,Ethanolamine,"Ethanolamine, 3TMS derivative",,277.171,0.960846,1000000.0,79,223.0,166.0,NIST,10.93,10.93,223.0,11.0,C[Si](C)(C)N(CCO[Si](C)(C)C)[Si](C)(C)C,CCMSLIB00000867707,131000000.0,223_RT10.93_BAL79,0.911966648686689,7,,"s.Foregut,s.Hindgut,s.Simplegut",0.911966648686689,7,,"s.Carnivores,s.Herbivores,s.Omnivores",0.881077013264453,23,0.0209,"s.Carnivora,s.Artiodactyla,s.Primates",0.685118730474982,137,1.0,"s.Capuchin,s.Coati"
551_RT22.72_BAL100,EI,0.0,551.0,"D-Psicose, pentakis(trimethylsilyl) ether, methyloxime (anti)",Isolated,NIST,http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000944973,"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""551.0"""",""""main.cluster index_upperinput"""":""""551.0""""}""","InChI=1S/C22H55NO6Si5/c1-24-23-19(17-25-30(2,3)4)21(28-33(11,12)13)22(29-34(14,15)16)20(27-32(8,9)10)18-26-31(5,6)7/h20-22H,17-18H2,1-16H3/b23-19+",Sugars,Psicose,"D-Psicose, pentakis(trimethylsilyl) ether, methyloxime (anti)","Sugar, based on network. ",569.288,0.965064,1000000.0,100,551.0,171.0,NIST,22.72,22.72,551.0,23.0,CO/N=C(\CO[Si](C)(C)C)/C(C(C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,CCMSLIB00000944973,6080000000.0,551_RT22.72_BAL100,0.93792529650723,5,0.01792,"s.Foregut,s.Simplegut",0.933427623714271,7,,"s.Carnivores,s.Herbivores,s.Omnivores",0.918793173451723,23,0.27665,"s.Carnivora,s.Artiodactyla,s.Primates",0.745066260078037,180,1.0,"s.Coati,s.Lemur_BWR"
