Unnamed: 0,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,Index,Mass (m/z),Retention time,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,precursor_mass,id,stat.gut,index.gut,p.value.gut,groups.gut,stat.diet,index.diet,p.value.diet,groups.diet,stat.Order,index.Order,p.value.Order,groups.Order,stat.HostSpecies,index.HostSpecies,p.value.HostSpecies,groups.HostSpecies
6000_375.212_4.647,Unsat. LCFA,Dodecatrienoic acid,Dodecatrienoic acid,,,,,,,6000,375.212,4.647,Connected,"(2E,6E,10Z)-12-hydroxy-10-(hydroxymethyl)-6-methyl-2-(4-methylpent-3-enyl)dodeca-2,6,10-trienoic_acid",0.706587,4.6474,CCMSLIB00004709991,0.011703391,23,830,375.2125,6000_375.212_4.647,0.606976979,3,1.0,s.Simplegut,0.693736857,3,0.03874,s.Omnivores,0.710330417,2,0.35409,s.Carnivora,0.878936042,70,0.1914,"s.Black_bear,s.Brown_bear"
3009_311.293_7.649,Unsat. LCFA,Eicosenoic acid,14(Z)-Eicosenoic acid.,Prenol_lipids,Diterpenoids,5.0,Diterpenoids,Lipids_and_lipid-like_molecules,Spectral_Match_to_14(Z)-Eicosenoic_acid_from_NIST14,3009,311.293,7.649,Connected,Spectral_Match_to_14(Z)-Eicosenoic_acid_from_NIST14,0.760066,7.6488,CCMSLIB00003134660,0.025068499,24,5903,311.293,3009_311.293_7.649,0.648885685,3,1.0,s.Simplegut,0.659821858,3,0.23542,s.Omnivores,0.894427191,5,0.00638,s.Primates,0.811288833,159,1.0,"s.Chimp,s.Mandrill"
12788_464.281_4.693,Bile acids,Taurohyodeoxycholic acid 3,,,,,,,,12788,464.281,4.693,Connected,taurohyodeoxycholic_acid,0.797751,4.6931,CCMSLIB00005435583,0.007610319,20,762,464.2812,12788_464.281_4.693,0.592348878,3,1.0,s.Simplegut,0.950361759,1,0.00298,s.Carnivores,0.835319268,2,0.08294,s.Carnivora,0.886444652,236,1.0,"s.Hyena,s.Jungle_cat"
5764_817.578_5.649,Bile acids,Cholic acid 3,,,,,,,,5764,817.578,5.649,Singleton,Spectral_Match_to_Cholic_acid_from_NIST14,0.815981,5.6488,CCMSLIB00003139898,0.138080012,30,-1,817.5782,5764_817.578_5.649,0.690065559,5,1.0,"s.Foregut,s.Simplegut",0.825892864,1,0.00298,s.Carnivores,0.965082889,2,0.00319,s.Carnivora,0.631193391,123,1.0,"s.Cape_Hunting_dog,s.Lion"
12008_373.272_4.486,Bile acids,Cholic acid 1,,,,,,,,12008,373.272,4.486,Connected,Spectral_Match_to_Cholic_acid_from_NIST14,0.816466,4.4858,CCMSLIB00003135149,0.014913042,28,137,373.2722,12008_373.272_4.486,0.68588619,3,1.0,s.Simplegut,0.897577684,1,0.00298,s.Carnivores,0.913257536,2,0.01595,s.Carnivora,0.827514391,273,1.0,"s.Leopard,s.Lion"
2992_357.277_6.66,Bile acids,3b-Hydroxy-5-cholenoic acid 3,3.beta.-Hydroxy-5-cholenoic acid by GNPS ID.,Steroids_and_steroid_derivatives,"Dihydroxy_bile_acids,_alcohols_and_derivatives",16.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,2992,357.277,6.66,Connected,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,0.862768,6.6603,CCMSLIB00003134721,1.727837073,71,1274,357.2772,2992_357.277_6.66,0.961557429,5,0.00294,"s.Foregut,s.Simplegut",0.929620969,5,0.00298,"s.Carnivores,s.Omnivores",0.962496981,23,0.00319,"s.Carnivora,s.Artiodactyla,s.Primates",0.485127019,118,1.0,"s.Cape_Hunting_dog,s.Hyena"
5818_591.315_4.136,Bile pigments,Urobilin 2 (m/z 591.315),,,,,,,,5818,591.315,4.136,Connected,Spectral_Match_to_Urobilin_from_NIST14,0.863724,4.136,CCMSLIB00003137178,0.347989506,36,133,591.3148,5818_591.315_4.136,0.76471221,3,0.82614,s.Simplegut,0.894326164,1,0.00298,s.Carnivores,0.989682273,2,0.00319,s.Carnivora,0.650879817,278,1.0,"s.Leopard,s.Tiger"
3846_375.288_5.828,Bile acids,Deoxycholic acid 1,,,,,,,,3846,375.288,5.828,Connected,deoxycholic_acid,0.867982,5.8282,CCMSLIB00005435507,0.03032711,50,1274,375.2878,3846_375.288_5.828,0.881204081,5,0.15582,"s.Foregut,s.Simplegut",0.968174093,1,0.00298,s.Carnivores,0.913096052,10,0.00319,"s.Carnivora,s.Artiodactyla",0.681196654,263,1.0,"s.Jungle_cat,s.Tiger"
7625_357.277_5.815,Bile acids,3b-Hydroxy-5-cholenoic acid 2,,,,,,,,7625,357.277,5.815,Connected,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,0.873965,5.8145,CCMSLIB00003134721,0.161564035,62,1274,357.2772,7625_357.277_5.815,0.982991003,5,0.00294,"s.Foregut,s.Simplegut",0.974151308,5,0.00298,"s.Carnivores,s.Omnivores",0.983317342,23,0.00319,"s.Carnivora,s.Artiodactyla,s.Primates",0.58159137,263,1.0,"s.Jungle_cat,s.Tiger"
14912_591.315_4.071,Bile pigments,Urobilin 1 (m/z 591.315),,,,,,,,14912,591.315,4.071,Connected,Spectral_Match_to_Urobilin_from_NIST14,0.877932,4.0707,CCMSLIB00003137178,0.019379975,24,133,591.3148,14912_591.315_4.071,0.616852462,3,1.0,s.Simplegut,0.664554829,5,0.298,"s.Carnivores,s.Omnivores",0.83785666,2,0.02552,s.Carnivora,0.614604301,235,1.0,"s.Hyena,s.Israeli_Wolf"
