log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,CAZy,CAZy_module
-1.152842029,0.061982297,3.24e-77,5.35e-76,Bacteria,Proteobacteria,GH013,GH
-1.553119888,0.203655418,2.42e-14,5.5e-14,Bacteria,Proteobacteria,GT020,GT
-2.667947365,0.199151916,6.33e-41,2.99e-40,Bacteria,Proteobacteria,GH018,GH
-2.549268796,0.189787061,3.91e-41,1.88e-40,Bacteria,Proteobacteria,GH103,GH
-2.31514789,0.151391142,8.58e-53,6.66e-52,Bacteria,Proteobacteria,GH020,GH
-3.051436546,0.149449636,1.16e-92,3.07e-91,Bacteria,Proteobacteria,GH005,GH
-1.390132007,0.090616109,4.08e-53,3.36e-52,Bacteria,Proteobacteria,CE010,CE
-1.709607572,0.086098225,9.69e-88,2.13e-86,Bacteria,Proteobacteria,CBM048,CBM
-0.773261056,0.378145267,0.040866856,0.047950445,Bacteria,Proteobacteria,GH101,GH
-1.478605033,0.088996531,5.5e-62,5.38e-61,Bacteria,Proteobacteria,GT002,GT
-1.14281825,0.08034919,6.58e-46,4.14e-45,Bacteria,Proteobacteria,GT004,GT
-2.209693323,0.117442553,5.68e-79,1e-77,Bacteria,Proteobacteria,GT051,GT
-1.798403194,0.095250628,1.64e-79,3.1e-78,Bacteria,Proteobacteria,GH003,GH
-0.156356108,0.178918477,0.382174993,0.411813054,Bacteria,Proteobacteria,GH094,GH
0.302966658,0.348245766,0.384311638,0.412432002,Bacteria,Fusobacteria,GT009,GT
-0.747519982,0.142507794,1.56e-07,2.74e-07,Bacteria,Fusobacteria,GT051,GT
-1.372732215,0.485715283,0.004710273,0.006065912,Bacteria,Proteobacteria,AA010,AA
-2.859430596,0.210466668,4.84e-42,2.56e-41,Bacteria,Proteobacteria,GH026,GH
-5.258788205,0.389431077,1.49e-41,7.4e-41,Bacteria,Chlorobi,GH032,GH
-2.053177821,0.204781746,1.17e-23,3.51e-23,Bacteria,Proteobacteria,GH008,GH
0.505893401,0.087766698,8.21e-09,1.53e-08,Bacteria,Proteobacteria,GT001,GT
-2.079610856,0.168024364,3.49e-35,1.37e-34,Bacteria,Proteobacteria,GH023,GH
-1.901395314,0.256501928,1.24e-13,2.79e-13,Bacteria,Proteobacteria,GH019,GH
0.078939688,0.032346026,0.014667935,0.01801086,Bacteria,Firmicutes,CBM048,CBM
0.112734779,0.055190303,0.041086549,0.047994907,Bacteria,Firmicutes,GH038,GH
-0.068701174,0.061666265,0.265244716,0.292989979,Bacteria,Bacteroidetes,GH003,GH
-1.348848743,0.080344241,2.97e-63,3.01e-62,Bacteria,Proteobacteria,GT026,GT
0.129652457,0.059365251,0.028963795,0.034443432,Bacteria,Bacteroidetes,CBM048,CBM
-2.218502843,0.250187886,7.49e-19,1.92e-18,Bacteria,Proteobacteria,CE001,CE
-1.271145563,0.07564946,2.32e-63,2.45e-62,Bacteria,Proteobacteria,GT035,GT
-3.72840366,0.388371261,7.99e-22,2.24e-21,Bacteria,Proteobacteria,CBM005,CBM
1.148281211,0.327156506,0.000448303,0.000626201,Bacteria,Proteobacteria,CBM050,CBM
-1.984858556,0.108021822,2.1e-75,2.92e-74,Bacteria,Proteobacteria,GT028,GT
1.181636946,0.117874779,1.19e-23,3.53e-23,Bacteria,Firmicutes,GH023,GH
-2.269390733,0.174303354,9.44e-39,4.09e-38,Bacteria,Proteobacteria,GT019,GT
-2.146566263,0.354352822,1.38e-09,2.67e-09,Bacteria,Proteobacteria,GT025,GT
-1.590465511,0.165591624,7.63e-22,2.17e-21,Bacteria,Proteobacteria,GH038,GH
-2.683890032,0.168495891,4.02e-57,3.66e-56,Bacteria,Proteobacteria,GT009,GT
0.791065036,0.243074647,0.001136274,0.001554281,Bacteria,Proteobacteria,GH063,GH
0.211833481,0.311211112,0.496077449,0.517646034,Bacteria,Fusobacteria,GH005,GH
-1.832291153,0.118214569,3.48e-54,3.07e-53,Bacteria,Proteobacteria,GH102,GH
-1.692573325,0.238421571,1.26e-12,2.74e-12,Bacteria,Proteobacteria,PL008,PL
-2.261049286,0.150980837,1.06e-50,7.35e-50,Bacteria,Proteobacteria,GT030,GT
-0.193999982,0.296196026,0.512486046,0.532662662,Bacteria,Proteobacteria,CBM015,CBM
0.607559619,0.124518899,1.06e-06,1.78e-06,Bacteria,Firmicutes,GH018,GH
0.213288653,0.027882249,2.02e-14,4.63e-14,Bacteria,Firmicutes,GH031,GH
0.45476659,0.138935454,0.001063289,0.001462023,Bacteria,Proteobacteria,GH032,GH
-1.599224722,0.17649689,1.29e-19,3.38e-19,Bacteria,Fusobacteria,GT002,GT
1.258745082,0.133550421,4.29e-21,1.19e-20,Bacteria,Bacteroidetes,GH026,GH
-0.402840584,0.083921308,1.58e-06,2.6e-06,Bacteria,Bacteroidetes,GT019,GT
2.209189935,0.241018887,4.91e-20,1.34e-19,Bacteria,Bacteroidetes,GH023,GH
-0.711137897,0.278680852,0.010716791,0.013408686,Bacteria,Firmicutes,CBM005,CBM
0.908353721,0.06703711,7.92e-42,4.02e-41,Bacteria,Firmicutes,GT051,GT
-0.121755336,0.083119776,0.142970603,0.164105388,Bacteria,Bacteroidetes,GH031,GH
-0.336084448,0.306318802,0.27256616,0.299822776,Bacteria,Fusobacteria,GT019,GT
-0.29106883,0.072617919,6.12e-05,9.01e-05,Bacteria,Bacteroidetes,GH095,GH
0.858180847,0.138331355,5.51e-10,1.09e-09,Bacteria,Bacteroidetes,GT009,GT
1.018189532,0.075112486,7.35e-42,3.8e-41,Bacteria,Firmicutes,GH005,GH
-1.750982791,0.128484149,2.73e-42,1.47e-41,Bacteria,Proteobacteria,GT005,GT
0.667919265,0.043922689,3.19e-52,2.41e-51,Bacteria,Firmicutes,GT002,GT
0.214458069,0.089129183,0.016121701,0.019704301,Bacteria,Bacteroidetes,GH020,GH
0.187068368,0.041911688,8.07e-06,1.25e-05,Bacteria,Firmicutes,GT005,GT
0.642356549,0.476931895,0.17802799,0.200852091,Bacteria,Proteobacteria,GH016,GH
0.525445863,0.092813626,1.5e-08,2.77e-08,Bacteria,Bacteroidetes,GH077,GH
0.377776541,0.126444349,0.002810943,0.003747924,Bacteria,Bacteroidetes,GH033,GH
-4.604853817,0.386287056,9.22e-33,3.38e-32,Bacteria,Proteobacteria,GH073,GH
0.049408869,0.295122894,0.867041205,0.883779452,Bacteria,Fusobacteria,GT028,GT
0.612205162,0.085179397,6.61e-13,1.45e-12,Bacteria,Proteobacteria,GH004,GH
0.987267527,0.045035315,1.6e-106,7.04e-105,Bacteria,Firmicutes,GT004,GT
0.431480457,0.054732833,3.19e-15,7.38e-15,Bacteria,Firmicutes,GT035,GT
-0.450811798,0.070974628,2.13e-10,4.23e-10,Bacteria,Bacteroidetes,GH029,GH
0.787691641,0.172571351,5.01e-06,7.87e-06,Bacteria,Bacteroidetes,GH006,GH
-3.011984573,0.299147777,7.61e-24,2.34e-23,Bacteria,Proteobacteria,GH033,GH
0.518529495,0.13128487,7.83e-05,0.000114155,Bacteria,Fusobacteria,GT005,GT
-0.137956872,0.054618697,0.011542936,0.014306737,Bacteria,Firmicutes,GH077,GH
-0.176636394,0.061101935,0.003842042,0.005046264,Bacteria,Bacteroidetes,CE001,CE
0.665177777,0.195099533,0.000650993,0.000899802,Bacteria,Firmicutes,AA010,AA
-0.50416983,0.224721683,0.02486266,0.030102774,Bacteria,Fusobacteria,GT030,GT
1.57164935,0.180384574,2.97e-18,7.53e-18,Bacteria,Fusobacteria,GH088,GH
-0.238182371,0.065000204,0.000247984,0.000351978,Bacteria,Firmicutes,GH065,GH
1.014632539,0.120151462,3.05e-17,7.46e-17,Bacteria,Bacteroidetes,GH005,GH
-0.411552381,0.081417732,4.31e-07,7.43e-07,Bacteria,Bacteroidetes,GT051,GT
-0.332456368,0.079453949,2.86e-05,4.32e-05,Bacteria,Bacteroidetes,GT028,GT
-0.133437895,0.047977491,0.005414829,0.006939392,Bacteria,Bacteroidetes,GT002,GT
-0.286771299,0.071561938,6.14e-05,9.01e-05,Bacteria,Fusobacteria,CBM048,CBM
-0.347307151,0.054352814,1.66e-10,3.32e-10,Bacteria,Bacteroidetes,GH065,GH
-0.369487229,0.146143728,0.011463415,0.014275196,Bacteria,Bacteroidetes,GH038,GH
-0.06058238,0.097267175,0.533386337,0.551751503,Bacteria,Bacteroidetes,GH057,GH
2.188805354,0.258210049,2.31e-17,5.71e-17,Bacteria,Firmicutes,CBM018,CBM
-0.923490928,0.090329813,1.56e-24,4.95e-24,Bacteria,Spirochaetes,GH013,GH
-2.601421243,0.145004029,5.71e-72,6.85e-71,Bacteria,Proteobacteria,GH006,GH
-0.087710573,0.06761023,0.194528893,0.217608593,Bacteria,Fusobacteria,GT035,GT
1.155194713,0.112011572,6.14e-25,1.98e-24,Bacteria,Bacteroidetes,GH030,GH
-0.923199463,0.165274975,2.33e-08,4.26e-08,Bacteria,Spirochaetes,GH057,GH
-0.801597355,0.094114094,1.63e-17,4.07e-17,Bacteria,Firmicutes,GH057,GH
-0.123211553,0.108084319,0.254303922,0.283275255,Bacteria,Bacteroidetes,GT030,GT
1.940947516,0.084426526,5.9e-117,3.89e-115,Bacteria,Firmicutes,GH032,GH
1.675609024,0.108745803,1.44e-53,1.22e-52,Bacteria,Firmicutes,CBM006,CBM
0.73353534,0.126343286,6.4e-09,1.2e-08,Bacteria,Actinobacteria,GT026,GT
-0.40885748,0.073461976,2.61e-08,4.76e-08,Bacteria,Bacteroidetes,GT005,GT
0.380382581,0.054102409,2.05e-12,4.41e-12,Bacteria,Bacteroidetes,GH032,GH
0.712056,0.059716456,8.88e-33,3.3e-32,Bacteria,Firmicutes,GH003,GH
1.06661432,0.073928997,3.47e-47,2.24e-46,Bacteria,Firmicutes,GH043,GH
-0.516009004,0.088534857,5.6e-09,1.07e-08,Bacteria,Firmicutes,GH094,GH
0.174506275,0.036578861,1.84e-06,2.99e-06,Bacteria,Firmicutes,GH013,GH
0.376006014,0.057738722,7.41e-11,1.5e-10,Bacteria,Firmicutes,GH051,GH
0.06188651,0.046654023,0.184674502,0.207464122,Bacteria,Firmicutes,GH029,GH
-0.00167702,0.115505891,0.988415992,0.988415992,Bacteria,Firmicutes,GT036,GT
