log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,CAZy,CAZy_module
-0.827887884,0.14897707,2.74e-08,2.88e-07,Bacteria,Proteobacteria,GH013,GH
-1.392652143,0.260954044,9.46e-08,7.05e-07,Bacteria,Proteobacteria,GH018,GH
-1.609464266,0.331300561,1.19e-06,5.59e-06,Bacteria,Proteobacteria,GH103,GH
-0.595400884,0.272598954,0.028950183,0.043145111,Bacteria,Proteobacteria,GH020,GH
-1.126988464,0.207416488,5.53e-08,5.11e-07,Bacteria,Proteobacteria,CBM048,CBM
-1.202101267,0.408520895,0.003255004,0.006063757,Bacteria,Proteobacteria,GH101,GH
-0.506188286,0.143436384,0.000417119,0.000973278,Bacteria,Proteobacteria,GT004,GT
-0.735951367,0.142818551,2.56e-07,1.6e-06,Bacteria,Proteobacteria,GT002,GT
-1.103486146,0.208651285,1.23e-07,8.62e-07,Bacteria,Proteobacteria,GT051,GT
-0.721330412,0.141158558,3.22e-07,1.81e-06,Bacteria,Proteobacteria,GH003,GH
1.371969218,0.256773007,9.14e-08,7.05e-07,Bacteria,Proteobacteria,GH094,GH
-0.181951868,0.476587569,0.702624142,0.751417485,Bacteria,Fusobacteria,GT009,GT
-0.146941668,0.281963434,0.602271114,0.656248242,Bacteria,Fusobacteria,GT051,GT
-2.124582397,0.632827188,0.000787114,0.00168355,Bacteria,Proteobacteria,AA010,AA
-1.63444285,0.301942677,6.19e-08,5.5e-07,Bacteria,Proteobacteria,GH026,GH
-2.217009657,0.446204051,6.74e-07,3.62e-06,Bacteria,Proteobacteria,GH008,GH
-0.900162394,0.146588661,8.21e-10,1.72e-08,Bacteria,Proteobacteria,GT001,GT
-1.007680591,0.211078841,1.81e-06,8.18e-06,Bacteria,Proteobacteria,GH023,GH
-1.810799619,0.395974686,4.81e-06,1.95e-05,Bacteria,Proteobacteria,GH019,GH
0.129965704,0.061852098,0.035620468,0.051427051,Bacteria,Firmicutes,CBM048,CBM
-0.732212501,0.464847488,0.115217864,0.148688975,Bacteria,Proteobacteria,GT025,GT
0.007357936,0.074841287,0.921683068,0.946261283,Bacteria,Firmicutes,GH038,GH
0.324766043,0.119057264,0.006375559,0.010829075,Bacteria,Bacteroidetes,GH003,GH
-0.386417625,0.178691686,0.030581013,0.044994994,Bacteria,Proteobacteria,GT026,GT
0.421165813,0.085573128,8.58e-07,4.31e-06,Bacteria,Bacteroidetes,CBM048,CBM
-1.40340734,0.335907488,2.94e-05,9.44e-05,Bacteria,Proteobacteria,CE001,CE
-0.505365085,0.125137701,5.38e-05,0.000165706,Bacteria,Proteobacteria,GT035,GT
-1.983438259,0.677485841,0.003415394,0.006233785,Bacteria,Proteobacteria,CBM005,CBM
-0.843508467,0.357879817,0.018425224,0.028953924,Bacteria,Proteobacteria,CBM050,CBM
-0.759244098,0.199652928,0.000143058,0.000371909,Bacteria,Proteobacteria,GT028,GT
0.092799945,0.136503274,0.496607821,0.55687576,Bacteria,Firmicutes,GH023,GH
-1.436933298,0.304957072,2.45e-06,1.05e-05,Bacteria,Proteobacteria,GT019,GT
-0.826152172,0.26914429,0.002143807,0.004232644,Bacteria,Proteobacteria,GH038,GH
-1.491022372,0.280822096,1.1e-07,7.94e-07,Bacteria,Proteobacteria,GT009,GT
-0.929335288,0.419839001,0.02685964,0.040640066,Bacteria,Proteobacteria,GH063,GH
0.003403232,0.319751384,0.99150798,0.995592293,Bacteria,Fusobacteria,GH005,GH
-1.368415259,0.238683981,9.86e-09,1.2e-07,Bacteria,Proteobacteria,GH005,GH
-1.379614833,0.206766321,2.52e-11,7.27e-10,Bacteria,Proteobacteria,GH102,GH
-0.418273699,0.359723897,0.244925603,0.299353515,Bacteria,Proteobacteria,PL008,PL
-1.606732319,0.264635956,1.27e-09,2.25e-08,Bacteria,Proteobacteria,GT030,GT
-0.902984789,0.328207324,0.005936589,0.010310918,Bacteria,Proteobacteria,CBM015,CBM
-0.021358305,0.166266529,0.897786346,0.936098632,Bacteria,Firmicutes,GH018,GH
0.07584055,0.057978125,0.190843113,0.237014833,Bacteria,Firmicutes,GH031,GH
-0.96470075,0.224525616,1.73e-05,6.26e-05,Bacteria,Proteobacteria,GH032,GH
-0.575360485,0.243401288,0.018086866,0.028814249,Bacteria,Fusobacteria,GT002,GT
-0.117395735,0.367490819,0.749383665,0.794071681,Bacteria,Fusobacteria,GT030,GT
0.935316187,0.175166706,9.32e-08,7.05e-07,Bacteria,Bacteroidetes,GH026,GH
0.634204983,0.180264909,0.000434512,0.000993785,Bacteria,Bacteroidetes,GT019,GT
-1.59893372,0.325429021,8.96e-07,4.4e-06,Bacteria,Proteobacteria,GT020,GT
0.844205951,0.218140157,0.000108828,0.000302883,Bacteria,Bacteroidetes,GH023,GH
-0.576199886,0.320389057,0.07210761,0.097408526,Bacteria,Firmicutes,CBM005,CBM
0.103435081,0.097033804,0.286437401,0.342834403,Bacteria,Firmicutes,GT051,GT
0.584003681,0.144313172,5.19e-05,0.000162096,Bacteria,Bacteroidetes,GH031,GH
-0.256225433,0.445793789,0.565452113,0.620470894,Bacteria,Fusobacteria,GT019,GT
0.443148596,0.104977579,2.43e-05,7.9e-05,Bacteria,Bacteroidetes,GH095,GH
1.340520873,0.228274658,4.3e-09,6.61e-08,Bacteria,Bacteroidetes,GT009,GT
0.391380927,0.099224543,8e-05,0.000233928,Bacteria,Firmicutes,GH005,GH
-0.459363555,0.231104552,0.046846298,0.066389539,Bacteria,Proteobacteria,GT005,GT
0.328238623,0.075729675,1.46e-05,5.45e-05,Bacteria,Firmicutes,GT002,GT
0.347721482,0.128322961,0.006733657,0.011327499,Bacteria,Bacteroidetes,GH020,GH
0.141813985,0.094270625,0.132496811,0.170037574,Bacteria,Firmicutes,GT005,GT
1.060212169,0.502315321,0.034802349,0.050561903,Bacteria,Proteobacteria,GH016,GH
0.887991394,0.172910028,2.81e-07,1.69e-06,Bacteria,Bacteroidetes,GH077,GH
0.754744538,0.177954982,2.22e-05,7.55e-05,Bacteria,Bacteroidetes,GH033,GH
0.166236789,0.388256124,0.668532673,0.718283942,Bacteria,Fusobacteria,GT028,GT
-0.527038236,0.19273691,0.006247593,0.010690325,Bacteria,Proteobacteria,GH004,GH
0.257823252,0.080987234,0.001455037,0.002974456,Bacteria,Firmicutes,GT004,GT
-0.088465016,0.078851154,0.261894683,0.318408799,Bacteria,Firmicutes,GT035,GT
0.275612321,0.112732397,0.014491767,0.023247209,Bacteria,Bacteroidetes,GH029,GH
