log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,KEGG_pathway,KEGG_Pathway_Name,Level1,Level2
0.669880539,0.031751817,8.4e-99,1.08e-97,Bacteria,Firmicutes,ko00680,Methane metabolism,Metabolism,Energy metabolism
0.465514749,0.03188332,2.78e-48,1.34e-47,Bacteria,Firmicutes,ko00720,Carbon fixation pathways in prokaryotes,Metabolism,Energy metabolism
0.69337021,0.029669273,8.63e-121,1.87e-119,Bacteria,Firmicutes,ko01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
0.536343372,0.030234182,2.07e-70,1.46e-69,Bacteria,Firmicutes,ko01200,Carbon metabolism,Metabolism,Global and overview maps
0.574698993,0.033605933,1.46e-65,9.64e-65,Bacteria,Firmicutes,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism
0.814023562,0.030032509,8.66e-162,5.9e-160,Bacteria,Firmicutes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
0.656701637,0.029005575,1.73e-113,3.08e-112,Bacteria,Firmicutes,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
0.587892636,0.028986908,1.88e-91,1.99e-90,Bacteria,Firmicutes,ko01130,Biosynthesis of antibiotics,Metabolism,Global and overview maps
0.554259661,0.029164762,1.57e-80,1.36e-79,Bacteria,Firmicutes,ko01230,Biosynthesis of amino acids,Metabolism,Global and overview maps
0.086273931,0.036475684,0.018018146,0.022254277,Bacteria,Firmicutes,ko00405,Phenazine biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
0.750191159,0.033892804,1.48e-108,2.39e-107,Bacteria,Firmicutes,ko00790,Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins
0.876404784,0.031350553,5.73e-172,6.43e-170,Bacteria,Firmicutes,ko02024,Quorum sensing,Cellular Processes,Cellular community - prokaryotes
0.932953973,0.036683905,1.11e-142,4.92e-141,Bacteria,Firmicutes,ko02025,Biofilm formation - Pseudomonas aeruginosa,Cellular Processes,Cellular community - prokaryotes
1.074991579,0.061779689,8.19e-68,5.62e-67,Bacteria,Firmicutes,ko00473,D-Alanine metabolism,Metabolism,Metabolism of other amino acids
1.663286077,0.05554688,5.29e-197,1.26e-194,Bacteria,Firmicutes,ko01503,Cationic antimicrobial peptide (CAMP) resistance,Human Diseases,Drug resistance: antimicrobial
1.086039882,0.046125613,1.4e-122,3.3e-121,Bacteria,Firmicutes,ko02020,Two-component system,Environmental Information Processing,Signal transduction
2.517986252,0.107980832,2.86e-120,6.05e-119,Bacteria,Firmicutes,ko05150,Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial
0.674029413,0.061423111,5.12e-28,1.71e-27,Bacteria,Actinobacteria,ko02010,ABC transporters,Environmental Information Processing,Membrane transport
1.060885289,0.037606858,4.42e-175,5.27e-173,Bacteria,Firmicutes,ko02010,ABC transporters,Environmental Information Processing,Membrane transport
0.59299167,0.027442795,1.5e-103,2.07e-102,Bacteria,Firmicutes,ko00260,"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
0.87748426,0.032213238,2.19e-163,1.61e-161,Bacteria,Firmicutes,ko00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
0.437798961,0.036165875,9.9e-34,3.79e-33,Bacteria,Firmicutes,ko00250,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
1.125435222,0.047798274,1.4e-122,3.3e-121,Bacteria,Firmicutes,ko00860,Porphyrin and chlorophyll metabolism,Metabolism,Metabolism of cofactors and vitamins
-0.288804863,0.058028341,6.46e-07,1.06e-06,Bacteria,Actinobacteria,ko00630,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
0.179517013,0.050005213,0.000330721,0.000464422,Bacteria,Actinobacteria,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
0.079626057,0.049132525,0.105095208,0.12101533,Bacteria,Actinobacteria,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
-0.034401871,0.052135554,0.509347309,0.539925135,Bacteria,Actinobacteria,ko01130,Biosynthesis of antibiotics,Metabolism,Global and overview maps
0.392720639,0.032471985,1.13e-33,4.33e-33,Bacteria,Firmicutes,ko00630,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
0.650463198,0.031745421,2.64e-93,2.92e-92,Bacteria,Firmicutes,ko00900,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
1.272186119,0.061964303,1.14e-93,1.27e-92,Bacteria,Firmicutes,ko01502,Vancomycin resistance,Human Diseases,Drug resistance: antimicrobial
1.286873553,0.044540097,1.48e-183,2.36e-181,Bacteria,Firmicutes,ko00052,Galactose metabolism,Metabolism,Carbohydrate metabolism
1.37228541,0.043855386,6.16e-215,2.35e-212,Bacteria,Firmicutes,ko00500,Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism
0.716554033,0.04876,6.89e-49,3.35e-48,Bacteria,Actinobacteria,ko00730,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
-0.164470387,0.050742393,0.001189936,0.001595786,Bacteria,Actinobacteria,ko00250,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
-0.266520503,0.055451313,1.54e-06,2.49e-06,Bacteria,Actinobacteria,ko00910,Nitrogen metabolism,Metabolism,Energy metabolism
-0.015166012,0.051689974,0.76921386,0.789075218,Bacteria,Actinobacteria,ko01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
0.043390107,0.051460071,0.399127738,0.431973097,Bacteria,Actinobacteria,ko01230,Biosynthesis of amino acids,Metabolism,Global and overview maps
0.500614217,0.036785773,3.54e-42,1.56e-41,Bacteria,Firmicutes,ko00910,Nitrogen metabolism,Metabolism,Energy metabolism
0.989175853,0.036655574,2.18e-160,1.38e-158,Bacteria,Firmicutes,ko03440,Homologous recombination,Genetic Information Processing,Replication and repair
0.584736206,0.063668495,4.15e-20,1.13e-19,Bacteria,Bacteroidetes,ko00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
0.303074939,0.052690448,8.82e-09,1.57e-08,Bacteria,Bacteroidetes,ko00250,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
0.553863671,0.0599974,2.67e-20,7.29e-20,Bacteria,Bacteroidetes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
1.643025525,0.065965493,6.19e-137,2.41e-135,Bacteria,Firmicutes,ko04141,Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation"
1.067631128,0.047288717,7.32e-113,1.28e-111,Bacteria,Firmicutes,ko04151,PI3K-Akt signaling pathway,Environmental Information Processing,Signal transduction
0.935149414,0.04108125,1.06e-114,1.96e-113,Bacteria,Firmicutes,ko04217,Necroptosis,Cellular Processes,Cell growth and death
1.410808506,0.067385718,2.5e-97,3.04e-96,Bacteria,Firmicutes,ko04612,Antigen processing and presentation,Organismal Systems,Immune system
1.049572688,0.045800971,3.22e-116,6.14e-115,Bacteria,Firmicutes,ko04621,NOD-like receptor signaling pathway,Organismal Systems,Immune system
0.73606617,0.039990615,1.18e-75,9.08e-75,Bacteria,Firmicutes,ko04626,Plant-pathogen interaction,Organismal Systems,Environmental adaptation
1.40923701,0.067432242,5.52e-97,6.42e-96,Bacteria,Firmicutes,ko04657,IL-17 signaling pathway,Organismal Systems,Immune system
1.40923701,0.067432242,5.52e-97,6.42e-96,Bacteria,Firmicutes,ko04659,Th17 cell differentiation,Organismal Systems,Immune system
1.410497738,0.067380105,2.66e-97,3.19e-96,Bacteria,Firmicutes,ko04914,Progesterone-mediated oocyte maturation,Organismal Systems,Endocrine system
1.410497738,0.067380105,2.66e-97,3.19e-96,Bacteria,Firmicutes,ko04915,Estrogen signaling pathway,Organismal Systems,Endocrine system
0.914566162,0.041718601,1.59e-106,2.43e-105,Bacteria,Firmicutes,ko05200,Pathways in cancer,Human Diseases,Cancer: overview
1.40923701,0.067432242,5.52e-97,6.42e-96,Bacteria,Firmicutes,ko05215,Prostate cancer,Human Diseases,Cancer: specific types
0.689708035,0.036098762,2.24e-81,1.98e-80,Bacteria,Firmicutes,ko05418,Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease
1.15160818,0.040219827,2.62e-180,3.85e-178,Bacteria,Firmicutes,ko01501,beta-Lactam resistance,Human Diseases,Drug resistance: antimicrobial
0.669622617,0.05243205,2.37e-37,9.84e-37,Bacteria,Actinobacteria,ko00500,Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism
1.175084286,0.060437801,3.35e-84,3.12e-83,Bacteria,Firmicutes,ko03013,RNA transport,Genetic Information Processing,Translation
0.499072346,0.034463194,1.59e-47,7.56e-47,Bacteria,Firmicutes,ko03018,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
0.591337336,0.038588396,5.27e-53,2.74e-52,Bacteria,Firmicutes,ko03010,Ribosome,Genetic Information Processing,Translation
0.005848373,0.051465117,0.909525072,0.91965234,Bacteria,Actinobacteria,ko00260,"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
0.207784837,0.04046506,2.82e-07,4.72e-07,Bacteria,Actinobacteria,ko00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
-0.128970923,0.054221679,0.017379186,0.021506883,Bacteria,Actinobacteria,ko01200,Carbon metabolism,Metabolism,Global and overview maps
1.412177617,0.042647077,1.92e-240,1.83e-237,Bacteria,Firmicutes,ko00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
1.11983139,0.036858275,9.47e-203,2.58e-200,Bacteria,Firmicutes,ko00520,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism
2.923849604,0.077392101,0.0,0.0,Bacteria,Firmicutes,ko02060,Phosphotransferase system (PTS),Environmental Information Processing,Membrane transport
1.219196203,0.078427557,1.71e-54,8.97e-54,Bacteria,Firmicutes,ko02030,Bacterial chemotaxis,Cellular Processes,Cell motility
0.903030623,0.074851722,1.63e-33,6.21e-33,Bacteria,Firmicutes,ko02040,Flagellar assembly,Cellular Processes,Cell motility
0.608729881,0.03169351,3.25e-82,2.94e-81,Bacteria,Firmicutes,ko03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair
1.015858469,0.035872869,2.06e-176,2.62e-174,Bacteria,Firmicutes,ko03430,Mismatch repair,Genetic Information Processing,Replication and repair
0.860351704,0.036830837,1.1e-120,2.36e-119,Bacteria,Firmicutes,ko00030,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
0.558008155,0.033954452,1.09e-60,6.39e-60,Bacteria,Firmicutes,ko00710,Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism
0.863928489,0.062627946,2.75e-43,1.23e-42,Bacteria,Actinobacteria,ko00052,Galactose metabolism,Metabolism,Carbohydrate metabolism
0.175790214,0.061260311,0.004110417,0.005339623,Bacteria,Bacteroidetes,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
-1.317182542,0.054431423,2.28e-129,6.5e-128,Bacteria,Proteobacteria,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
0.19203291,0.046004913,2.99e-05,4.45e-05,Bacteria,Actinobacteria,ko00010,Glycolysis / Gluconeogenesis,Metabolism,Carbohydrate metabolism
0.109837087,0.051443379,0.032752322,0.039505805,Bacteria,Actinobacteria,ko00680,Methane metabolism,Metabolism,Energy metabolism
