log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,KEGG_pathway,KEGG_Pathway_Name,Level1,Level2
-1.277122754,0.161961912,3.14e-15,1.16e-13,Bacteria,Proteobacteria,ko00280,"Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism
-0.998437518,0.120714126,1.33e-16,7.54e-15,Bacteria,Proteobacteria,ko00640,Propanoate metabolism,Metabolism,Carbohydrate metabolism
-0.854575058,0.12359803,4.71e-12,6.46e-11,Bacteria,Proteobacteria,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
-0.888071148,0.127103476,2.81e-12,4.03e-11,Bacteria,Proteobacteria,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
-0.864033824,0.124029789,3.25e-12,4.58e-11,Bacteria,Proteobacteria,ko01130,Biosynthesis of antibiotics,Metabolism,Global and overview maps
-0.452578917,0.092673684,1.04e-06,3.83e-06,Bacteria,Actinobacteria,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
-0.730251486,0.131360285,2.71e-08,1.5e-07,Bacteria,Proteobacteria,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
0.428454648,0.089522369,1.7e-06,5.82e-06,Bacteria,Bacteroidetes,ko00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
0.359202417,0.094880417,0.000153188,0.000335988,Bacteria,Bacteroidetes,ko00450,Selenocompound metabolism,Metabolism,Metabolism of other amino acids
0.535584064,0.102367468,1.68e-07,7.52e-07,Bacteria,Bacteroidetes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
0.474522654,0.099499923,1.85e-06,6.24e-06,Bacteria,Bacteroidetes,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
0.50031876,0.101783763,8.86e-07,3.32e-06,Bacteria,Bacteroidetes,ko01230,Biosynthesis of amino acids,Metabolism,Global and overview maps
0.169600484,0.058556886,0.003775465,0.006666776,Bacteria,Firmicutes,ko00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
0.174780051,0.064367785,0.006620891,0.011064955,Bacteria,Firmicutes,ko00450,Selenocompound metabolism,Metabolism,Metabolism of other amino acids
0.142010766,0.055484205,0.01048286,0.017053405,Bacteria,Firmicutes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
0.109669977,0.052597123,0.037060713,0.054747999,Bacteria,Firmicutes,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
0.112266925,0.050018361,0.024799333,0.037756688,Bacteria,Firmicutes,ko01230,Biosynthesis of amino acids,Metabolism,Global and overview maps
-0.66762715,0.113129107,3.6e-09,2.46e-08,Bacteria,Proteobacteria,ko00270,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
-0.797932096,0.121494769,5.11e-11,5.61e-10,Bacteria,Proteobacteria,ko00450,Selenocompound metabolism,Metabolism,Metabolism of other amino acids
-0.741010305,0.125395563,3.43e-09,2.39e-08,Bacteria,Proteobacteria,ko01230,Biosynthesis of amino acids,Metabolism,Global and overview maps
0.135062579,0.064903824,0.037437121,0.055150426,Bacteria,Firmicutes,ko00730,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
0.040909136,0.056538821,0.469336921,0.530337388,Bacteria,Firmicutes,ko04122,Sulfur relay system,Genetic Information Processing,"Folding, sorting and degradation"
-0.550621267,0.117386665,2.72e-06,8.84e-06,Bacteria,Proteobacteria,ko00040,Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism
-0.703330704,0.139094294,4.27e-07,1.71e-06,Bacteria,Proteobacteria,ko00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
0.164798341,0.066063596,0.01261202,0.020288902,Bacteria,Firmicutes,ko03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair
-0.338882696,0.120914643,0.005068299,0.008689292,Bacteria,Actinobacteria,ko03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair
0.110640555,0.061938005,0.074048875,0.102712955,Bacteria,Firmicutes,ko00030,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
0.106174252,0.069182971,0.124860568,0.166515644,Bacteria,Firmicutes,ko00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
0.064785118,0.049631261,0.191780887,0.243126209,Bacteria,Firmicutes,ko00710,Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism
0.083127173,0.048572,0.087003302,0.119226747,Bacteria,Firmicutes,ko01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
0.101610771,0.050272764,0.043260175,0.063031498,Bacteria,Firmicutes,ko01130,Biosynthesis of antibiotics,Metabolism,Global and overview maps
