log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
27.18590888,0.878231333,2.16e-210,1.16e-209,artificially_reared_1__metabat2_low_PE_002_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
25.09277366,0.74350481,1.09e-249,7.9e-249,artificially_reared_2__metabat2_high_PE_035_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
26.67116444,0.913857001,2.98e-187,1.19e-186,artificially_reared_2__metabat2_low_PE_015_contigs,Bacteria,Firmicutes,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter
30.0,0.790974641,0.0,0.0,Ash_p2__metabat2_high_PE_017_contigs,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium
29.43574883,0.624061862,0.0,0.0,Avalanche_p1__metabat2_low_PE_018_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
28.91578564,0.624103805,0.0,0.0,Belle_p2__metabat2_low_PE_017_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella
9.229527195,0.570437044,7.01e-59,8.39e-59,Bissell_p1__maxbin2_high_prob_028_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia
28.33257071,0.885756453,1.66e-224,9.97e-224,Bissell_p1__metabat2_low_PE_001_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
28.72285092,0.891422735,8.86e-228,5.49e-227,Bissell_p2__metabat2_high_PE_001_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
25.41392963,1.570945275,7.27e-59,8.69e-59,C__urophasianus_2_cecum__metabat2_low_PE_006_contigs,Bacteria,Firmicutes_C,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas
30.0,1.543526036,3.83e-84,5.23e-84,C__urophasianus_2_cecum__metabat2_low_PE_008_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
30.0,1.430886965,1.34e-97,1.96e-97,C__urophasianus_4_cecum__metabat2_high_PE_002_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
28.09954375,0.8990949,2.02e-214,1.13e-213,Cam_p2__metabat2_low_PE_027_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parasutterella
10.60481651,0.474057528,7.66e-111,1.23e-110,CBJMC01400__metabat2_high_PE_029_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
28.06516484,1.900759237,2.45e-49,2.8e-49,CBJMC01400__metabat2_low_PE_018_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas
9.745904927,0.599725306,2.21e-59,2.65e-59,CBJMC01400__metabat2_low_PE_023_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
27.20950246,1.092697977,7.22e-137,1.6e-136,CBJMC01400__metabat2_low_PE_039_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,
-4.480969982,0.556405068,8.05e-16,8.71e-16,CBJMI02800__metabat2_low_PE_003_contigs,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
29.49276042,1.244430604,3.62e-124,6.78e-124,CBJMI02800__metabat2_low_PE_005_contigs,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D
26.56958202,1.471060901,6.4e-73,8.18e-73,Cebus_capucinus_imitator_PRJNA485217_SSR012__metabat2_high_PE_008_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
26.98054289,0.892885011,1.41e-200,6.69e-200,Cebus_capucinus_imitator_PRJNA485217_SSR024__maxbin2_low_prob_004_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
11.29324387,0.851747214,4.01e-40,4.5e-40,Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_high_PE_013_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_B
27.88761379,1.140416277,4.58e-132,9.58e-132,Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_low_PE_009_contigs,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
-4.697326112,0.889893599,1.3e-07,1.37e-07,Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE_004_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella
-4.477973144,1.428219274,0.001716468,0.001767651,Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE_001_contigs,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Gordonia
26.2378844,1.684433882,1.05e-54,1.22e-54,Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob_007_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
9.647922726,0.493028905,2.86e-85,3.93e-85,Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob_010_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_M
25.56062381,1.096611986,3.62e-120,6.41e-120,Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob_012_contigs,Bacteria,Firmicutes_C,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas
26.50166888,1.063709766,5.2e-137,1.16e-136,Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_high_PE_007_contigs,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium
28.87591407,1.105788429,2.57e-150,6.64e-150,Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_low_PE_012_contigs,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
24.48541745,1.673004421,1.67e-48,1.89e-48,Cebus_capucinus_imitator_PRJNA485217_SSR091__maxbin2_high_prob_005_contigs,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_P
30.0,1.704285553,2.35e-69,2.95e-69,Cebus_capucinus_imitator_PRJNA485217_SSR091__metabat2_high_PE_016_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
