log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
0.814900919,1.601784211,0.610930446,0.650155515,artificially_reared_1__metabat2_low_PE_002_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
-0.749452826,1.592633157,0.637944498,0.67457289,artificially_reared_2__metabat2_high_PE_035_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
-4.174236706,1.977282988,0.034763953,0.051794383,artificially_reared_2__metabat2_low_PE_015_contigs,Bacteria,Firmicutes,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter
2.696405337,2.036160063,0.185416708,0.230208385,Ash_p1__metabat2_low_PE_028_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
24.5323956,2.399119466,1.52e-24,5.74e-24,Avalanche_p1__metabat2_low_PE_018_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
0.071219483,2.435896389,0.976675186,0.979168823,Belle_p2__metabat2_low_PE_017_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella
0.801237286,1.108647201,0.469854264,0.521615649,Bissell_p1__maxbin2_high_prob_028_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia
5.176391436,2.192289581,0.018216861,0.028485327,Bissell_p1__metabat2_low_PE_001_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
4.928320703,1.917821208,0.010177198,0.016578581,Bissell_p2__metabat2_high_PE_001_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
1.34394366,1.845321598,0.466431309,0.520612723,Cam_p1__metabat2_low_PE_012_contigs,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_A
4.709873385,1.719724077,0.006167553,0.010511794,CBJMC01400__metabat2_high_PE_029_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
-4.039330758,1.821622682,0.026593348,0.04053193,CBJMI02800__metabat2_low_PE_003_contigs,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
-2.948270436,2.59171717,0.255298349,0.30552853,CBJMI02800__metabat2_low_PE_005_contigs,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D
0.411884703,1.542120338,0.789399976,0.820332577,Cebus_capucinus_imitator_PRJNA485217_SSR012__metabat2_high_PE_008_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
1.048699398,0.975980937,0.282595027,0.333381678,Cebus_capucinus_imitator_PRJNA485217_SSR024__maxbin2_low_prob_004_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
1.708973784,0.667644298,0.010476045,0.016964298,Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_high_PE_013_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_B
-1.943782355,1.614391178,0.228576321,0.276040256,Cebus_capucinus_imitator_PRJNA485217_SSR046__maxbin2_high_prob_012_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tatumella
23.98385407,2.648329048,1.35e-19,4.05e-19,Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob_007_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
3.327814806,1.963401999,0.090090067,0.120180513,Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob_010_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_M
