Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Acetate utilization,False,d__Archaea,p__Euryarchaeota,Host,5
Acetate utilization,False,d__Archaea,p__Halobacterota,Host,1
Acetate utilization,False,d__Archaea,p__Halobacterota,Neither,3
Acetate utilization,False,d__Archaea,p__Thermoplasmatota,Host,1
Acetate utilization,False,d__Archaea,p__Thermoplasmatota,Neither,3
Acetate utilization,False,d__Bacteria,p__Actinobacteriota,Environment,4
Acetate utilization,False,d__Bacteria,p__Actinobacteriota,Host,39
Acetate utilization,False,d__Bacteria,p__Actinobacteriota,Neither,50
Acetate utilization,True,d__Bacteria,p__Actinobacteriota,Environment,3
Acetate utilization,False,d__Bacteria,p__Armatimonadota,Neither,1
Acetate utilization,False,d__Bacteria,p__Bacteroidota,Host,212
Acetate utilization,False,d__Bacteria,p__Bacteroidota,Neither,112
Acetate utilization,True,d__Bacteria,p__Bacteroidota,Host,5
Acetate utilization,True,d__Bacteria,p__Bacteroidota,Neither,16
Acetate utilization,False,d__Bacteria,p__Campylobacterota,Host,6
Acetate utilization,False,d__Bacteria,p__Campylobacterota,Neither,14
Acetate utilization,False,d__Bacteria,p__Chloroflexota,Neither,1
Acetate utilization,False,d__Bacteria,p__Cyanobacteria,Host,13
Acetate utilization,False,d__Bacteria,p__Cyanobacteria,Neither,2
Acetate utilization,False,d__Bacteria,p__Deferribacterota,Neither,1
Acetate utilization,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Acetate utilization,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Acetate utilization,False,d__Bacteria,p__Elusimicrobiota,Host,4
Acetate utilization,False,d__Bacteria,p__Elusimicrobiota,Neither,1
Acetate utilization,True,d__Bacteria,p__Elusimicrobiota,Neither,1
Acetate utilization,False,d__Bacteria,p__Eremiobacterota,Neither,1
Acetate utilization,False,d__Bacteria,p__Fibrobacterota,Host,4
Acetate utilization,False,d__Bacteria,p__Firmicutes,Host,104
Acetate utilization,False,d__Bacteria,p__Firmicutes,Neither,81
Acetate utilization,True,d__Bacteria,p__Firmicutes,Neither,3
Acetate utilization,False,d__Bacteria,p__Firmicutes_A,Host,433
Acetate utilization,False,d__Bacteria,p__Firmicutes_A,Neither,172
Acetate utilization,True,d__Bacteria,p__Firmicutes_A,Host,5
Acetate utilization,True,d__Bacteria,p__Firmicutes_A,Neither,1
Acetate utilization,False,d__Bacteria,p__Firmicutes_B,Host,2
Acetate utilization,False,d__Bacteria,p__Firmicutes_B,Neither,2
Acetate utilization,False,d__Bacteria,p__Firmicutes_C,Host,16
Acetate utilization,False,d__Bacteria,p__Firmicutes_C,Neither,13
Acetate utilization,False,d__Bacteria,p__Fusobacteriota,Host,2
Acetate utilization,False,d__Bacteria,p__Fusobacteriota,Neither,13
Acetate utilization,True,d__Bacteria,p__Fusobacteriota,Neither,2
Acetate utilization,False,d__Bacteria,p__Myxococcota,Host,2
Acetate utilization,False,d__Bacteria,p__Patescibacteria,Host,1
Acetate utilization,False,d__Bacteria,p__Patescibacteria,Neither,3
Acetate utilization,False,d__Bacteria,p__Planctomycetota,Host,1
Acetate utilization,False,d__Bacteria,p__Planctomycetota,Neither,1
Acetate utilization,False,d__Bacteria,p__Proteobacteria,Environment,4
Acetate utilization,False,d__Bacteria,p__Proteobacteria,Host,22
Acetate utilization,False,d__Bacteria,p__Proteobacteria,Neither,35
Acetate utilization,True,d__Bacteria,p__Proteobacteria,Environment,4
Acetate utilization,True,d__Bacteria,p__Proteobacteria,Host,2
Acetate utilization,True,d__Bacteria,p__Proteobacteria,Neither,5
Acetate utilization,False,d__Bacteria,p__Spirochaetota,Host,30
Acetate utilization,False,d__Bacteria,p__Spirochaetota,Neither,8
Acetate utilization,True,d__Bacteria,p__Spirochaetota,Host,1
Acetate utilization,False,d__Bacteria,p__Synergistota,Neither,2
Acetate utilization,True,d__Bacteria,p__Synergistota,Neither,2
Acetate utilization,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Acetate utilization,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Acetate utilization,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Acetate utilization,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Aerobe,False,d__Archaea,p__Euryarchaeota,Host,5
Aerobe,False,d__Archaea,p__Halobacterota,Host,1
Aerobe,False,d__Archaea,p__Halobacterota,Neither,3
Aerobe,False,d__Archaea,p__Thermoplasmatota,Host,1
Aerobe,False,d__Archaea,p__Thermoplasmatota,Neither,3
Aerobe,False,d__Bacteria,p__Actinobacteriota,Environment,4
Aerobe,False,d__Bacteria,p__Actinobacteriota,Host,38
Aerobe,False,d__Bacteria,p__Actinobacteriota,Neither,40
Aerobe,True,d__Bacteria,p__Actinobacteriota,Environment,3
Aerobe,True,d__Bacteria,p__Actinobacteriota,Host,1
Aerobe,True,d__Bacteria,p__Actinobacteriota,Neither,10
Aerobe,False,d__Bacteria,p__Armatimonadota,Neither,1
Aerobe,False,d__Bacteria,p__Bacteroidota,Host,217
Aerobe,False,d__Bacteria,p__Bacteroidota,Neither,127
Aerobe,True,d__Bacteria,p__Bacteroidota,Neither,1
Aerobe,False,d__Bacteria,p__Campylobacterota,Host,6
Aerobe,False,d__Bacteria,p__Campylobacterota,Neither,14
Aerobe,False,d__Bacteria,p__Chloroflexota,Neither,1
Aerobe,False,d__Bacteria,p__Cyanobacteria,Host,13
Aerobe,False,d__Bacteria,p__Cyanobacteria,Neither,2
Aerobe,False,d__Bacteria,p__Deferribacterota,Neither,1
Aerobe,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Aerobe,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Aerobe,False,d__Bacteria,p__Elusimicrobiota,Host,4
Aerobe,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Aerobe,False,d__Bacteria,p__Eremiobacterota,Neither,1
Aerobe,False,d__Bacteria,p__Fibrobacterota,Host,4
Aerobe,False,d__Bacteria,p__Firmicutes,Host,103
Aerobe,False,d__Bacteria,p__Firmicutes,Neither,83
Aerobe,True,d__Bacteria,p__Firmicutes,Host,1
Aerobe,True,d__Bacteria,p__Firmicutes,Neither,1
Aerobe,False,d__Bacteria,p__Firmicutes_A,Host,438
Aerobe,False,d__Bacteria,p__Firmicutes_A,Neither,173
Aerobe,False,d__Bacteria,p__Firmicutes_B,Host,2
Aerobe,False,d__Bacteria,p__Firmicutes_B,Neither,2
Aerobe,False,d__Bacteria,p__Firmicutes_C,Host,16
Aerobe,False,d__Bacteria,p__Firmicutes_C,Neither,13
Aerobe,False,d__Bacteria,p__Fusobacteriota,Host,2
Aerobe,False,d__Bacteria,p__Fusobacteriota,Neither,15
Aerobe,False,d__Bacteria,p__Myxococcota,Host,2
Aerobe,False,d__Bacteria,p__Patescibacteria,Host,1
Aerobe,False,d__Bacteria,p__Patescibacteria,Neither,3
Aerobe,False,d__Bacteria,p__Planctomycetota,Host,1
Aerobe,False,d__Bacteria,p__Planctomycetota,Neither,1
Aerobe,False,d__Bacteria,p__Proteobacteria,Environment,1
Aerobe,False,d__Bacteria,p__Proteobacteria,Host,21
Aerobe,False,d__Bacteria,p__Proteobacteria,Neither,33
Aerobe,True,d__Bacteria,p__Proteobacteria,Environment,7
Aerobe,True,d__Bacteria,p__Proteobacteria,Host,3
Aerobe,True,d__Bacteria,p__Proteobacteria,Neither,7
Aerobe,False,d__Bacteria,p__Spirochaetota,Host,31
Aerobe,False,d__Bacteria,p__Spirochaetota,Neither,8
Aerobe,False,d__Bacteria,p__Synergistota,Neither,4
Aerobe,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Aerobe,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Aerobe,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Aerobe,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Alkaline phosphatase,False,d__Archaea,p__Euryarchaeota,Host,5
Alkaline phosphatase,False,d__Archaea,p__Halobacterota,Host,1
Alkaline phosphatase,False,d__Archaea,p__Halobacterota,Neither,3
Alkaline phosphatase,False,d__Archaea,p__Thermoplasmatota,Host,1
Alkaline phosphatase,False,d__Archaea,p__Thermoplasmatota,Neither,3
Alkaline phosphatase,False,d__Bacteria,p__Actinobacteriota,Host,32
Alkaline phosphatase,False,d__Bacteria,p__Actinobacteriota,Neither,32
Alkaline phosphatase,True,d__Bacteria,p__Actinobacteriota,Environment,7
Alkaline phosphatase,True,d__Bacteria,p__Actinobacteriota,Host,7
Alkaline phosphatase,True,d__Bacteria,p__Actinobacteriota,Neither,18
Alkaline phosphatase,True,d__Bacteria,p__Armatimonadota,Neither,1
