Aepyceros melampus
Ammotragus lervia
Bison bonasus
Callimico goeldii
Callithrix pygmaea
Canis lupus
Capra ibex
Cervus elaphus
Choloepus didactylus
Connochaetes taurinus
Cricetus cricetus
Dama dama
Equus asinus
Equus hemionus
Equus quagga
Eulemur macaco
Felis margarita
Felis silvestris
Gazella subgutturosa
Giraffa camelopardalis
Gorilla gorilla
Hippopotamus amphibius
Hylobates lar
Kobus megaceros
Lama glama
Lemur catta
Loxodonta africana
Lutra lutra
Lycaon pictus
Lynx lynx
Macaca fuscata
Macropus eugenii
Macropus giganteus
Nasua nasua
Nycticebus pygmaeus
Odocoileus virginianus
Pan troglodytes
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Phascolarctos cinereus
Phoca vitulina
Pongo pygmaeus
Procyon lotor
Pygathrix nemaeus
Saguinus imperator
Saguinus oedipus
Saimiri boliviensis
Sciurus vulgaris
Suricata suricatta
Syncerus caffer
Taurotragus oryx
Tupaia belangeri
Ursus arctos
Varecia rubra
Varecia variegata
