Sample,class,order,family,genus,species,host_common_name,diet,captive_wild,country,sample_type
X144_Cattle,Mammalia,Artiodactyla,Bovidae,Bos,Bos_taurus,Cattle,herbivore,captive,Austria,feces
X370_African_Bush_Elephant,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta_africana,African_Bush_Elephant,herbivore,captive,Austria,feces
X80_European_Otter,Mammalia,Carnivora,Mustelidae,Lutra,Lutra_lutra,European_Otter,carnivore,wild,Austria,feces
X66_Mouflon,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis_aries,Mouflon,herbivore,captive,Austria,feces
X11_Onager,Mammalia,Perissodactyla,Equidae,Equus,Equus_hemionus,Onager,herbivore,wild,Iran,feces
X267_Rook,Aves,Passeriformes,Corvidae,Corvus,Corvus_frugilegus,Rook,omnivore,wild,Austria,feces
X3_Alpine_Chamois,Mammalia,Artiodactyla,Bovidae,Rupicapra,Rupicapra_rupicapra,Alpine_Chamois,herbivore,wild,Austria,feces
X122_Wild_Boar,Mammalia,Artiodactyla,Suidae,Sus,Sus_scrofa,Wild_Boar,omnivore,wild,Austria,feces
X338_White_beaked_Dolphin,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus_albirostris,White_beaked_Dolphin,carnivore,wild,England,feces
X8_Garden_Dormouse,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys_quercinus,Garden_Dormouse,omnivore,captive,Austria,gut
X395_Przewalski_horse,Mammalia,Perissodactyla,Equidae,Equus,Equus_caballus,Przewalski_horse,herbivore,captive,Austria,feces
X414_Vervet_Monkey,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus_pygerythrus,Vervet_Monkey,omnivore,wild,South Africa,feces
X101_Horse,Mammalia,Perissodactyla,Equidae,Equus,Equus_caballus,Horse,herbivore,captive,Austria,feces
X74_Steppe_Polecat,Mammalia,Carnivora,Mustelidae,Mustela,Mustela_eversmanii,Steppe_Polecat,carnivore,wild,Austria,feces
X30_Beech_Marten,Mammalia,Carnivora,Mustelidae,Martes,Martes_foina,Beech_Marten,omnivore,wild,Austria,feces
X348_European_Rabbit,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus_cuniculus,European_Rabbit,herbivore,wild,Austria,gut
X76_European_Polecat,Mammalia,Carnivora,Mustelidae,Mustela,Mustela_putorius,European_Polecat,omnivore,wild,Austria,feces
X7_European_Otter,Mammalia,Carnivora,Mustelidae,Lutra,Lutra_lutra,European_Otter,carnivore,wild,Austria,feces
X424_Quagga,Mammalia,Perissodactyla,Equidae,Equus,Equus_quagga,Quagga,herbivore,wild,East Africa,feces
X391_European_Ground_Squirrel,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus_citellus,European_Ground_Squirrel,omnivore,wild,Austria,feces
X364_fail_Fulvous_Harvest_Mouse,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys_fluvesces,Fulvous_Harvest_Mouse,omnivore,wild,Costa Rica,gut
XF44_Fallow_Deer,Mammalia,Artiodactyla,Cervidae,Dama,Dama_dama,Fallow_Deer,herbivore,wild,Austria,feces
X366_fail_Tomes_Spiny_Rat,Mammalia,Rodentia,Echimyidae,Proechimys,Proechimys_semispinosus,Tomes_Spiny_Rat,herbivore,wild,Costa Rica,gut
X377_Fat_Sand_Rat,Mammalia,Rodentia,Muridae,Psammomys,Psammomys_obesus,Fat_Sand_Rat,herbivore,captive,Austria,feces
X174_Great_Tit,Aves,Passeriformes,Paridae,Parus,Parus_major,Great_Tit,omnivore,wild,Hungary,feces
X422_Common_Hippopotamus,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus_amphibius,Common_Hippopotamus,herbivore,wild,East Africa,feces
X345_fail_Alpine_Salamander,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra_atra,Alpine_Salamander,carnivore,wild,Austria,feces
X135_Horse,Mammalia,Perissodactyla,Equidae,Equus,Equus_caballus,Horse,herbivore,captive,Austria,feces
X79_Eurasian_Beaver,Mammalia,Rodentia,Castoridae,Castor,Castor_fiber,Eurasian_Beaver,herbivore,wild,Austria,feces
X77_Onager,Mammalia,Perissodactyla,Equidae,Equus,Equus_hemionus,Onager,herbivore,wild,Iran,feces
X362_Gray_Four_eyed_Opossum,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander_opossum,Gray_Four_eyed_Opossum,omnivore,wild,Costa Rica,gut
X34_Mallard_Duck,Aves,Anseriformes,Anatidae,Anas,Anas_platyrhynchos,Mallard_Duck,omnivore,wild,Austria,feces
X221_Alpine_Ibex,Mammalia,Artiodactyla,Bovidae,Capra,Capra_ibex,Alpine_Ibex,herbivore,captive,Austria,feces
X434_Blue_Wildebeest,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes_taurinus,Blue_Wildebeest,herbivore,captive,Austria,feces
X82_Eurasian_Ruffe,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus_cernua,Eurasian_Ruffe,carnivore,wild,Austria,feces
X208_Red_Sheep,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis_aries,Red_Sheep,herbivore,captive,Austria,feces
X330_Ide,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus_idus,Ide,carnivore,wild,Austria,feces
X393_European_Rabbit,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus_cuniculus,European_Rabbit,herbivore,wild,Austria,feces
X129_Alpine_Ibex,Mammalia,Artiodactyla,Bovidae,Capra,Capra_ibex,Alpine_Ibex,herbivore,wild,Austria,feces
X187_fail_Rainbow_Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus_mykiss,Rainbow_Trout,carnivore,wild,Austria,feces
X110_Noctule,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus_noctula,Noctule,carnivore,wild,Hungary,gut
X40_Bactrian_Camel,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus_bactrianus,Bactrian_Camel,herbivore,wild,Mongolia,feces
X75_fail1_Steppe_Polecat,Mammalia,Carnivora,Mustelidae,Mustela,Mustela_eversmanii,Steppe_Polecat,carnivore,wild,Austria,feces
X271_Common_Pheasant,Aves,Galliformes,Phasianidae,Phasianus,Phasianus_colchicus,Common_Pheasant,omnivore,wild,Austria,gut
X270_Common_Pheasant,Aves,Galliformes,Phasianidae,Phasianus,Phasianus_colchicus,Common_Pheasant,omnivore,wild,Austria,gut
X10_House_Mouse,Mammalia,Rodentia,Muridae,Mus,Mus_musculus,House_Mouse,omnivore,captive,Austria,gut
X407_African_Bush_Elephant,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta_africana,African_Bush_Elephant,herbivore,wild,South Africa,feces
X375_European_Pine_Marten,Mammalia,Carnivora,Mustelidae,Martes,Martes_martes,European_Pine_Marten,omnivore,wild,Austria,feces
X412_Lion,Mammalia,Carnivora,Felidae,Panthera,Panthera_leo,Lion,carnivore,wild,South Africa,feces
X107_House_Mouse,Mammalia,Rodentia,Muridae,Mus,Mus_musculus,House_Mouse,omnivore,captive,Austria,gut
X181_Common_Carp,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus_carpio,Common_Carp,omnivore,wild,Austria,gut
X343_Sand_Lizard,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta_agilis,Sand_Lizard,carnivore,wild,Austria,gut
X60_European_Chub,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus_cephalus,European_Chub,omnivore,wild,Austria,feces
X336_Sei_Whale,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera_borealis,Sei_Whale,carnivore,wild,England,feces
X94_Mangalica,Mammalia,Artiodactyla,Suidae,Sus,Sus_scrofa,Mangalica,omnivore,captive,Austria,feces
X153_Bank_Vole,Mammalia,Rodentia,Cricetidae,Myodes,Myodes_glareolus,Bank_Vole,omnivore,wild,Austria,gut
X134_Domestic_Goat,Mammalia,Artiodactyla,Bovidae,Capra,Capra_hircus,Domestic_Goat,herbivore,captive,Austria,feces
X261_fail_Common_Pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus_pipistrellus,Common_Pipistrelle,carnivore,wild,Hungary,gut
X429_Giraffe,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa_camelopardalis,Giraffe,herbivore,captive,Austria,feces
X6_Common_Hamster,Mammalia,Rodentia,Cricetidae,Cricetus,Cricetus_cricetus,Common_Hamster,omnivore,wild,Austria,gut
X360_White_tailed_Deer,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus_virginianus,White_tailed_Deer,herbivore,wild,Costa Rica,feces
X242_Dalmatian_Tortoise,Reptilia,Squamata,Testudinidae,Testudo,Testudo_hermanni,Dalmatian_Tortoise,omnivore,wild,Croatia,feces
X334_Gray_Seal,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus_grypus,Gray_Seal,carnivore,wild,Wales,feces
X171_Blackbird,Aves,Passeriformes,Turdidae,Turdus,Turdus_merula,Blackbird,omnivore,wild,Hungary,feces
X419_African_Buffalo,Mammalia,Artiodactyla,Bovidae,Syncerus,Syncerus_caffer,African_Buffalo,herbivore,wild,East Africa,feces
X389_Indian_Rhinoceros,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros_unicornis,Indian_Rhinoceros,herbivore,captive,Austria,feces
X420_Cattle,Mammalia,Artiodactyla,Bovidae,Bos,Bos_taurus,Cattle,herbivore,wild,East Africa,feces
X337_Sowerbys_Beaked_Whale,Mammalia,Cetacea,Ziphiidae,Mesoplodon,Mesoplodon_bidens,Sowerbys_Beaked_Whale,carnivore,wild,England,feces
X418_Giraffe,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa_camelopardalis,Giraffe,herbivore,wild,East Africa,feces
X405_Nile_Crocodile,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Crocodylus_niloticus,Nile_Crocodile,carnivore,wild,South Africa,feces
XF144_Wood_Sandpiper,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa_glareola,Wood_Sandpiper,carnivore,wild,Austria,feces
X21_Yellow_necked_Field_Mouse,Mammalia,Rodentia,Muridae,Apodemus,Apodemus_flavicollis,Yellow_necked_Field_Mouse,omnivore,wild,Austria,gut
X231_Brown_Bear,Mammalia,Carnivora,Ursidae,Ursus,Ursus_arctos,Brown_Bear,omnivore,wild,Austria,feces
X102_Kulan,Mammalia,Perissodactyla,Equidae,Equus,Equus_hemionus,Kulan,herbivore,wild,Mongolia,feces
X169_Great_Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax_carbo,Great_Cormorant,carnivore,wild,Austria,feces
X352_Kinkajou,Mammalia,Carnivora,Procyonidae,Potos,Potos_flavus,Kinkajou,omnivore,wild,Costa Rica,feces
X296_Galah,Aves,Psittaciformes,Cacatuidae,Eolophus,Eolophus_roseicapilla,Galah,omnivore,wild,Australia,feces
X373_Least_Weasel,Mammalia,Carnivora,Mustelidae,Mustela,Mustela_nivalis,Least_Weasel,carnivore,wild,Austria,gut
