original_name,category,gbif_accepted_binomial,gbif_status,gbif_match_type,gbif_confidence,outcome
Acinonyx jubatus,cancer_only,Acinonyx jubatus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Addax nasomaculatus,cancer_only,Addax nasomaculatus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Ailurus fulgens,cancer_only,Ailurus fulgens,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Alces alces,cancer_only,Alces alces,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Alouatta caraya,cancer_only,Alouatta caraya,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Antidorcas marsupialis,cancer_only,Antidorcas marsupialis,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Antilocapra americana,cancer_only,Antilocapra americana,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Antilope cervicapra,cancer_only,Antilope cervicapra,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Aonyx cinerea,cancer_only,Amblonyx cinereus,SYNONYM,FUZZY,96,NO_CROSS_CATEGORY_MATCH
Arctictis binturong,cancer_only,Arctictis binturong,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Ateles fusciceps,cancer_only,Ateles fusciceps,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Ateles geoffroyi,cancer_only,Ateles geoffroyi,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Axis axis,cancer_only,Axis axis,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Axis porcinus,cancer_only,Axis porcinus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Bettongia penicillata,cancer_only,Bettongia penicillata,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Bison bison,cancer_only,Bison bison,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Boselaphus tragocamelus,cancer_only,Boselaphus tragocamelus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Budorcas taxicolor,cancer_only,Budorcas taxicolor,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Callithrix geoffroyi,cancer_only,Callithrix geoffroyi,ACCEPTED,EXACT,98,NO_CROSS_CATEGORY_MATCH
Callithrix jacchus,cancer_only,Callithrix jacchus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Callosciurus prevostii,cancer_only,Callosciurus prevostii,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Canis mesomelas,cancer_only,Canis mesomelas,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Canis rufus,cancer_only,Canis lupus,SYNONYM,EXACT,98,NEW_OVERLAP_MATCH
Capra caucasica,cancer_only,Capra caucasica,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Capra falconeri,cancer_only,Capra falconeri,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Capra nubiana,cancer_only,Capra nubiana,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Caracal caracal,cancer_only,Caracal caracal,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Carollia perspicillata,cancer_only,Carollia perspicillata,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cebuella pygmaea,cancer_only,Cebuella pygmaea,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cercopithecus mitis,cancer_only,Cercopithecus mitis,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cercopithecus neglectus,cancer_only,Cercopithecus neglectus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cervus canadensis,cancer_only,Cervus elaphus,SYNONYM,EXACT,98,EXTRA_SOURCE_FOR_EXISTING_OVERLAP_SPECIES
Cervus nippon,cancer_only,Cervus nippon,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Chrysocyon brachyurus,cancer_only,Chrysocyon brachyurus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Colobus guereza,cancer_only,Colobus guereza,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Connochaetes gnou,cancer_only,Connochaetes gnou,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Ctenodactylus gundi,cancer_only,Ctenodactylus gundi,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cuon alpinus,cancer_only,Cuon alpinus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Cynictis penicillata,cancer_only,Cynictis penicillata,ACCEPTED,EXACT,97,NO_CROSS_CATEGORY_MATCH
Cynomys ludovicianus,cancer_only,Cynomys ludovicianus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dama mesopotamica,cancer_only,Dama dama,SYNONYM,EXACT,98,EXTRA_SOURCE_FOR_EXISTING_OVERLAP_SPECIES
Damaliscus pygargus,cancer_only,Damaliscus pygargus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dasyprocta azarae,cancer_only,Dasyprocta azarae,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dasyprocta leporina,cancer_only,Dasyprocta leporina,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dasypus novemcinctus,cancer_only,Dasypus novemcinctus,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dasyuroides byrnei,cancer_only,Dasyuroides byrnei,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
Dendrolagus matschiei,cancer_only,Dendrolagus matschiei,ACCEPTED,EXACT,99,NO_CROSS_CATEGORY_MATCH
