input_species,tree_tip,status,detail
Aepyceros melampus,Aepyceros_melampus,exact_match,
Ammotragus lervia,Ammotragus_lervia,exact_match,
Bison bonasus,Bison_bonasus,exact_match,
Callimico goeldii,Callimico_goeldii,exact_match,
Callithrix pygmaea,Cebuella_pygmaea,silent_genus_rename,Not found as 'Callithrix pygmaea'; matched by species epithet to tree tip 'Cebuella_pygmaea' (TimeTree did not flag this in its own unresolved-names list -- likely a taxonomic revision not reflected in the source dataset's naming).
Capra ibex,Capra_ibex,exact_match,
Cervus elaphus,Cervus_elaphus,exact_match,
Choloepus didactylus,Choloepus_didactylus,exact_match,
Connochaetes taurinus,Connochaetes_taurinus,exact_match,
Cricetus cricetus,Cricetus_cricetus,exact_match,
Dama dama,Dama_dama,exact_match,
Equus asinus,Equus_asinus,exact_match,
Equus hemionus,Equus_hemionus,exact_match,
Equus quagga,Equus_quagga,exact_match,
Eulemur macaco,Eulemur_macaco,exact_match,
Felis margarita,Felis_margarita,exact_match,
Felis silvestris,,dropped_no_data,insufficient data in TimeTree to place this taxon
Gazella subgutturosa,Gazella_subgutturosa,exact_match,replaced with Gazella dorcas
Giraffa camelopardalis,Giraffa_camelopardalis,exact_match,replaced with Giraffa reticulata
Gorilla gorilla,Gorilla_gorilla,exact_match,
Hippopotamus amphibius,Hippopotamus_amphibius,exact_match,
Hylobates lar,Hylobates_lar,exact_match,
Kobus megaceros,Kobus_megaceros,exact_match,
Lama glama,Lama_glama,exact_match,
Lemur catta,Lemur_catta,exact_match,
Loxodonta africana,Loxodonta_africana,exact_match,
Lutra lutra,Lutra_lutra,exact_match,
Lycaon pictus,Lycaon_pictus,exact_match,
Lynx lynx,Lynx_lynx,exact_match,
Macaca fuscata,Macaca_fuscata,exact_match,
Macropus eugenii,Notamacropus_eugenii,silent_genus_rename,Not found as 'Macropus eugenii'; matched by species epithet to tree tip 'Notamacropus_eugenii' (TimeTree did not flag this in its own unresolved-names list -- likely a taxonomic revision not reflected in the source dataset's naming).
Macropus giganteus,Macropus_giganteus,exact_match,
Nasua nasua,Nasua_nasua,exact_match,
Nycticebus pygmaeus,Nycticebus_pygmaeus,exact_match,
Odocoileus virginianus,Odocoileus_virginianus,exact_match,
Pan troglodytes,Pan_troglodytes,exact_match,
Panthera leo,Panthera_leo,exact_match,
Panthera onca,Panthera_onca,exact_match,
Panthera pardus,Panthera_pardus,exact_match,
Panthera tigris,Panthera_tigris,exact_match,
Phascolarctos cinereus,Phascolarctos_cinereus,exact_match,
Phoca vitulina,Phoca_vitulina,exact_match,
Pongo pygmaeus,Pongo_pygmaeus,exact_match,
Procyon lotor,Procyon_lotor,exact_match,
Pygathrix nemaeus,Pygathrix_nemaeus,exact_match,
Saguinus imperator,Saguinus_imperator,exact_match,
Saguinus oedipus,Saguinus_oedipus,exact_match,
Saimiri boliviensis,Saimiri_boliviensis,exact_match,
Sciurus vulgaris,Sciurus_vulgaris,exact_match,
Suricata suricatta,Suricata_suricatta,exact_match,
Syncerus caffer,Syncerus_caffer,exact_match,
Tupaia belangeri,Tupaia_belangeri,exact_match,
Ursus arctos,Ursus_arctos,exact_match,
Varecia rubra,Varecia_rubra,exact_match,
Varecia variegata,Varecia_variegata,exact_match,
