binomial_species,n_sources,vincze2022_cancer,compton2020_cancer,manor2020_microbiome,youngblut2020_microbiome,guo2022_metabolome,in_cancer_dataset,in_microbiome_dataset,overlap
Abramis brama,1,,,,Abramis_brama,,False,True,False
Acanthiza uropygialis,1,,,,Acanthiza_uropygialis,,False,True,False
Accipiter nisus,1,,,,Accipiter_nisus,,False,True,False
Acinonyx jubatus,2,Acinonyx_jubatus,Acinonyx_jubatus,,,,True,False,False
Acrocephalus scirpaceus,1,,,,Acrocephalus_scirpaceus,,False,True,False
Addax nasomaculatus,1,Addax_nasomaculatus,,,,,True,False,False
Aepyceros melampus,2,Aepyceros_melampus,,,Aepyceros_melampus,,True,True,True
African wild,1,,,African wild donkey,,,False,True,False
Ailurus fulgens,1,Ailurus_fulgens,,,,,True,False,False
Alburnus alburnus,1,,,,Alburnus_alburnus,,False,True,False
Alces alces,2,Alces_alces,Alces_alces,,,,True,False,False
Alouatta caraya,1,Alouatta_caraya,,,,,True,False,False
Ammotragus lervia,2,Ammotragus_lervia,,Ammotragus lervia,,,True,True,True
Anas crecca,1,,,,Anas_crecca,,False,True,False
Anas platyrhynchos,1,,,,Anas_platyrhynchos,,False,True,False
Anguis fragilis,1,,,,Anguis_fragilis,,False,True,False
Anser anser,1,,,,Anser_anser,,False,True,False
Antidorcas marsupialis,1,Antidorcas_marsupialis,,,,,True,False,False
Antilocapra americana,2,Antilocapra_americana,Antilocapra_americana,,,,True,False,False
Antilope cervicapra,1,Antilope_cervicapra,,,,,True,False,False
Aonyx cinerea,1,Aonyx_cinerea,,,,,True,False,False
Apodemus flavicollis,1,,,,Apodemus_flavicollis,,False,True,False
Apodemus sylvaticus,2,,,Apodemus sylvaticus,Apodemus_sylvaticus,,False,True,False
Arctictis binturong,1,Arctictis_binturong,,,,,True,False,False
Arctocephalus pusillus,1,,,Arctocephalus pusillus pusillus,,,False,True,False
Ardea cinerea,1,,,,Ardea_cinerea,,False,True,False
Asiatic elephant,1,,,Asiatic elephant,,,False,True,False
Asiatic tapir,1,,,Asiatic tapir,,,False,True,False
Asio otus,1,,,,Asio_otus,,False,True,False
Aspius aspius,1,,,,Aspius_aspius,,False,True,False
Ateles fusciceps,1,Ateles_fusciceps,,,,,True,False,False
Ateles geoffroyi,1,Ateles_geoffroyi,,,,,True,False,False
Axis axis,1,Axis_axis,,,,,True,False,False
Axis porcinus,1,Axis_porcinus,,,,,True,False,False
Balaenoptera borealis,1,,,,Balaenoptera_borealis,,False,True,False
Bettongia penicillata,1,Bettongia_penicillata,,,,,True,False,False
Bison bison,1,Bison_bison,,,,,True,False,False
Bison bonasus,2,Bison_bonasus,,Bison bonasus,,,True,True,True
Blicca bjoerkna,1,,,,Blicca_bjoerkna,,False,True,False
