SGB_ID,Completeness,Contamination,Genome size (bp),Contig count,N50,GC,BioProject,Domain,Phylum,Class,Order,Family,Genus,Species,fastani_ani
R25__metabat2_low_PE.004.contigs,96.0,0.0,1913729,129,22056,36.0,PRJNA532626,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,
R26__maxbin2_high_prob.014.contigs,88.97,0.8,2050830,518,4807,33.3,PRJNA532626,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,
R27__metabat2_low_PE.024.contigs,99.2,0.0,2410675,146,26186,32.7,PRJNA532626,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A sp900314695,96.82
SAMEA3663235__metabat2_high_PE.030.contigs,99.6,0.0,1567974,178,14827,31.3,PRJEB11755,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__,
X341_Western_Lowland_Gorilla__maxbin2_low_prob.002.contigs,66.0,0.92,1094012,288,4026,32.7,multi-species,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii_A,98.28
R15__metabat2_low_PE.054.contigs,91.19,0.65,1586540,229,9409,50.0,PRJNA532626,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__,s__,
R04__metabat2_low_PE.034.contigs,52.71,1.51,703304,281,2529,44.9,PRJNA532626,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,
R18__metabat2_low_PE.056.contigs,94.64,0.65,1253345,64,67266,48.5,PRJNA532626,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,
R19__maxbin2_low_prob.025.contigs,95.42,0.65,1661099,94,110305,46.6,PRJNA532626,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,
R20__metabat2_low_PE.015.contigs,95.97,0.0,1445839,84,28713,50.5,PRJNA532626,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__,s__,
SAMEA104315427__maxbin2_low_prob.013.contigs,97.18,0.0,1509697,53,52878,47.5,PRJEB22765,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__,s__,
SAMEA104315430__metabat2_high_PE.043.contigs,69.15,2.82,1012708,323,3276,50.9,PRJEB22765,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__ISO4-G1,s__,
SAMEA104315432__metabat2_high_PE.023.contigs,93.55,0.0,1613038,203,11537,45.7,PRJEB22765,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__ISO4-G1,s__,
