genome_ID,BGC product,BiGSCAPE clan,BiGSCAPE family,BGC type
artificially_reared_2__maxbin2_low_prob.006.contigs,arylpolyene,753,753,Others
artificially_reared_2__maxbin2_low_prob.006.contigs,arylpolyene,912,912,Others
artificially_reared_2__metabat2_low_PE.017.contigs,bacteriocin,2,613,RiPPs
artificially_reared_2__metabat2_low_PE.017.contigs,proteusin,2,613,RiPPs
Ash_p1__metabat2_low_PE.028.contigs,betalactone,565,565,Others
Avalanche_p1__metabat2_low_PE.018.contigs,sactipeptide,2,737,RiPPs
Belle_p2__metabat2_low_PE.009.contigs,arylpolyene,453,453,Others
Bissell_p1__metabat2_low_PE.001.contigs,sactipeptide,2,802,RiPPs
Bissell_p2__metabat2_high_PE.001.contigs,sactipeptide,2,1391,RiPPs
Cam_p1__metabat2_low_PE.012.contigs,NRPS,319,319,NRPS
Cam_p1__metabat2_low_PE.012.contigs,NRPS-like,897,897,NRPS
Cam_p2__metabat2_low_PE.032.contigs,sactipeptide,2,96,RiPPs
CBJMC01400__metabat2_high_PE.029.contigs,sactipeptide,2,1791,RiPPs
CBJMC01400__metabat2_high_PE.029.contigs,NRPS,1741,1741,NRPS
CBJMC01400__metabat2_low_PE.018.contigs,sactipeptide,2,1391,RiPPs
CBJMC01400__metabat2_low_PE.018.contigs,lanthipeptide,2,1525,RiPPs
CBJMC01400__metabat2_low_PE.023.contigs,NRPS,1901,1901,NRPS
CBJMC01400__metabat2_low_PE.039.contigs,sactipeptide,2,433,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,740,740,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,740,740,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1868,1868,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,terpene,115,115,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,T2PKS,2156,2156,PKSother
CBJMI02800__metabat2_low_PE.003.contigs,terpene,1930,1930,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,T3PKS,1127,1127,PKSother
CBJMI02800__metabat2_low_PE.003.contigs,lanthipeptide,2,336,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,siderophore,1425,1425,Others
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,3643,3643,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,3643,3643,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T3PKS,788,788,PKSother
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,1942,1942,PKSI
CBJMI02800__metabat2_low_PE.003.contigs,NRPS-like,1264,1264,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,siderophore,923,923,Others
CBJMI02800__metabat2_low_PE.003.contigs,terpene,394,394,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,bacteriocin,2,1693,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,butyrolactone,3,3,Others
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,490,490,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,terpene,1340,1340,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,122,122,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,101,101,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,101,101,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,hglE-KS,1138,1138,PKSother
CBJMI02800__metabat2_low_PE.003.contigs,terpene,133,133,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,468,468,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,PKS-like,468,468,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,LAP,2,1259,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,thiopeptide,2,1259,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1547,1547,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,265,265,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1082,1082,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,1082,1082,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,transAT-PKS-like,1082,1082,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1005,1005,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS-like,1581,1581,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T2PKS,3295,3295,PKSother
CBJMI02800__metabat2_low_PE.003.contigs,terpene,1464,1464,Terpene
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1538,1538,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,723,723,PKSI
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,1339,1339,PKSI
CBJMI02800__metabat2_low_PE.003.contigs,blactam,1123,1123,Others
CBJMI02800__metabat2_low_PE.003.contigs,T1PKS,270,270,PKSI
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,47,47,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,butyrolactone,839,839,Others
CBJMI02800__metabat2_low_PE.003.contigs,butyrolactone,1936,1936,Others
CBJMI02800__metabat2_low_PE.003.contigs,bacteriocin,2,1337,RiPPs
CBJMI02800__metabat2_low_PE.003.contigs,NRPS-like,1109,1109,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,557,557,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,628,628,NRPS
CBJMI02800__metabat2_low_PE.003.contigs,NRPS,1067,1067,NRPS
CBJMI02800__metabat2_low_PE.005.contigs,betalactone,1424,1424,Others
Cebus_capucinus_imitator_PRJNA485217_SSR024__maxbin2_low_prob.004.contigs,arylpolyene,1928,1928,Others
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_high_PE.013.contigs,bacteriocin,2,1566,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_high_PE.013.contigs,arylpolyene,1043,1043,Others
